client_name,industry,plan,start_date,onboarding_manager,kickoff_done,data_migrated,training_sessions_completed,training_sessions_planned,go_live_date,open_issues,health
Fictional Foods Pty Ltd,Food manufacturing,Professional,2026-06-02,J. Okafor,yes,yes,3,3,2026-06-27,0,green
Harbourline Logistics,Transport,Enterprise,2026-06-09,S. Nguyen,yes,yes,4,6,2026-07-18,2,amber
Brightpath Learning,Education,Starter,2026-06-11,J. Okafor,yes,no,1,2,2026-07-04,1,amber
Coastal Vet Group,Veterinary services,Professional,2026-06-16,M. Petrova,yes,yes,2,3,2026-07-10,0,green
Redgum Build Co,Construction,Enterprise,2026-06-23,S. Nguyen,yes,no,0,6,2026-08-14,4,red
Lantern Books,Retail,Starter,2026-06-30,M. Petrova,no,no,0,2,2026-07-24,1,amber
Northbay Physio,Allied health,Professional,2026-07-02,J. Okafor,yes,yes,3,3,2026-07-21,0,green
Silverleaf Accounting,Professional services,Professional,2026-07-07,M. Petrova,yes,yes,1,3,2026-07-31,2,amber
Openfield Energy,Utilities,Enterprise,2026-07-09,S. Nguyen,yes,yes,5,6,2026-08-07,1,green
Willow & Stone Homewares,Retail,Starter,2026-07-14,J. Okafor,yes,yes,2,2,2026-07-28,0,green
Kestrel Security,Security services,Professional,2026-07-16,M. Petrova,no,no,0,3,2026-08-21,3,red
Blue Wren Childcare,Childcare,Professional,2026-07-21,J. Okafor,yes,no,1,3,2026-08-11,1,amber
